CAS,Formula,DHf(kJ/mol),DHf(kcal/mol),IsomericSMILES,Source
628-71-7,C7H12,103.0,24.6,CCCCCC#C,Ghahremanpour2016
619-99-8,C8H18,-210.7,-50.3,CCCC(CC)CC,Ghahremanpour2016
4810-09-7,C8H16,-90.3,-21.6,CCCCC(C)C=C,Ghahremanpour2016
74286-95-6,C15H32,-366.6,-87.6,CCCCC(C)(C)CC(C)(C)CCCC,Pedley1986
13361-63-2,C7H12,81.7,19.5,CC(C)(C)CC#C,Ghahremanpour2016
563-16-6,C8H18,-220.0,-52.6,CCCC(C)(C)CC,Ghahremanpour2016
61847-80-1,C8H16,-93.9,-22.4,CCC(=C)CC(C)C,Ghahremanpour2016
62199-46-6,C12H26,-318.2,-76.0,CCC(C)(C)CCC(C)(C)CC,Pedley1986
61847-78-7,C8H16,-108.5,-25.9,CC/C(=C/C(C)C)/C,Ghahremanpour2016
3899-36-3,C7H14,-79.9,-19.1,CC/C=C(\C)/CC,Ghahremanpour2016
14850-23-8,C8H16,-96.6,-23.1,CCC/C=C/CCC,Ghahremanpour2016
13269-52-8,C6H12,-54.4,-13.0,CC/C=C/CC,Ghahremanpour2016
40276-93-5,C7H12,96.5,23.1,CCCC(C)C#C,Ghahremanpour2016
20198-49-6,C7H12,77.0,18.4,CCC(C)C#CC,Ghahremanpour2016
22768-19-0,C8H16,-105.3,-25.2,CCCC/C(=C\C)/C,Ghahremanpour2016
1632-16-2,C8H16,-97.2,-23.2,CCCCC(=C)CC,Ghahremanpour2016
689-97-4,C4H4,304.6,72.8,C(C#C)=C,Ghahremanpour2016
14686-14-7,C7H14,-75.3,-18.0,CCC/C=C/CC,Ghahremanpour2016
591-96-8,C5H8,133.1,31.8,CC=C=CC,Ghahremanpour2016
565-75-3,C8H18,-217.3,-51.9,CC(C)C(C)C(C)C,Ghahremanpour2016
625-65-0,C7H14,-89.5,-21.4,CC(C)C=C(C)C,Ghahremanpour2016
3683-19-0,C7H14,-75.7,-18.1,CCC(C)/C=C\C,Ghahremanpour2016
690-08-4,C7H14,-89.5,-21.4,C/C=C/C(C)(C)C,Ghahremanpour2016
50422-80-5,C8H16,-96.5,-23.1,CC/C=C\C(C)CC,Ghahremanpour2016
53510-18-2,C8H16,-101.1,-24.2,CC/C=C/C(C)CC,Ghahremanpour2016
872-05-9,C10H20,-123.4,-29.5,C(CCCC=C)CCCC,Pedley1986
583-48-2,C8H18,-212.7,-50.8,CCC(C)C(C)CC,Ghahremanpour2016
760-21-4,C6H12,-56.0,-13.4,CCC(=C)CC,Ghahremanpour2016
15840-60-5,C7H14,-77.2,-18.4,CC/C=C\C(C)C,Ghahremanpour2016
558-37-2,C6H12,-60.3,-14.4,CC(C)(C)C=C,Ghahremanpour2016
763-29-1,C6H12,-59.3,-14.2,CCCC(=C)C,Ghahremanpour2016
589-81-1,C8H18,-212.5,-50.8,CCCCC(C)CC,Ghahremanpour2016
107-83-5,C6H14,-174.6,-41.7,CCCC(C)C,Ghahremanpour2016
19549-97-4,C9H16,49.4,11.8,CC(C)CC#CC(C)C,Ghahremanpour2016
20237-34-7,C6H10,56.19,13.4,CC/C=C/C=C,Ghahremanpour2016
590-19-2,C4H6,162.3,38.8,CC=C=C,Ghahremanpour2016
560-21-4,C8H18,-217.8,-52.0,CCC(C)(C)C(C)C,Ghahremanpour2016
4914-92-5,C7H14,-82.1,-19.6,C/C=C(\C)/C(C)C,Ghahremanpour2016
3404-77-1,C8H16,-94.0,-22.5,CCCC(C)(C)C=C,Ghahremanpour2016
65036-71-7,C8H16,-101.8,-24.3,C/C=C\C(C)C(C)C,Ghahremanpour2016
1115-08-8,C6H10,79.0,18.9,CC(C=C)C=C,Ghahremanpour2016
37549-89-6,C8H16,-108.5,-25.9,CC/C(=C\C(C)C)/C,Ghahremanpour2016
110-54-3,C6H14,-166.9,-39.9,CCCCCC,Ghahremanpour2016
61868-47-1,C11H24,-302.4,-72.3,CCC(C)(C)CCC(C)(C)C,Pedley1986
690-93-7,C8H16,-108.6,-25.9,CC/C=C/C(C)(C)C,Ghahremanpour2016
646-04-8,C5H10,-31.4,-7.5,CC/C=C/C,Ghahremanpour2016
74-86-2,C2H2,227.5,54.4,C#C,Ghahremanpour2016
16746-87-5,C8H16,-101.612,-24.3,CCC(C)CC(=C)C,Ghahremanpour2016
13151-17-2,C7H14,-77.8,-18.6,C/C=C\CC(C)C,Ghahremanpour2016
14255-23-3,C8H16,-108.1,-25.8,CCC(C)C=C(C)C,Ghahremanpour2016
23097-98-5,C9H16,49.4,11.8,CCC#CC(C)(C)CC,Ghahremanpour2016
692-48-8,C10H20,-165.5,-39.5,C(=CC(C)(C)C)C(C)(C)C,Pedley1986
463-82-1,C5H12,-168.0,-40.1,CC(C)(C)C,Ghahremanpour2016
2612-46-6,C6H8,178.0,42.5,C=C/C=C\C=C,Ghahremanpour2016
7423-69-0,C8H16,-96.9,-23.2,CC(C)CC(C)C=C,Ghahremanpour2016
75-83-2,C6H14,-184.9,-44.2,CCC(C)(C)C,Ghahremanpour2016
